@relation top5Weight

@attribute timestamp numeric
@attribute feature numeric
@attribute label {BUY_SUCCESS,BUY_FAILURE,SELL_SUCCESS,SELL_FAILURE}

@data
1744692792138,1.397396,BUY_SUCCESS
1744692794229,1.323219,BUY_FAILURE
1744692796260,1.813832,BUY_SUCCESS
1744692798297,1.38673,BUY_SUCCESS
1744692802368,0.830536,SELL_SUCCESS
1744692804398,1.308395,BUY_SUCCESS
1744692806440,0.845337,SELL_SUCCESS
1744692808480,0.795271,SELL_FAILURE
1744692810516,0.899046,SELL_FAILURE
1744692812542,0.85663,SELL_SUCCESS
1744692814576,2.067715,BUY_SUCCESS
1744692816605,0.755175,SELL_SUCCESS
1744692818636,2.034464,BUY_SUCCESS
1744692822725,1.418813,BUY_FAILURE
1744692822727,0.674282,SELL_SUCCESS
1744692826799,0.705706,SELL_SUCCESS
1744692830863,0.422268,SELL_SUCCESS
1744692832887,0.803681,SELL_FAILURE
1744692834909,1.448002,BUY_SUCCESS
1744692839003,0.586904,SELL_SUCCESS
1744692843069,0.895592,SELL_FAILURE
1744692847135,0.501332,SELL_SUCCESS
1744692849173,0.632176,SELL_FAILURE
1744692851204,3.041368,BUY_FAILURE
1744692853249,1.947189,BUY_FAILURE
1744692855285,1.558556,BUY_SUCCESS
1744692857443,0.531677,SELL_FAILURE
1744692859469,0.790651,SELL_SUCCESS
1744692861512,0.732254,SELL_FAILURE
1744692863554,0.794667,SELL_FAILURE
1744692865591,0.878659,SELL_FAILURE
1744692867646,2.610788,BUY_FAILURE
1744692869695,2.634491,BUY_SUCCESS
1744692871728,0.729127,SELL_SUCCESS
1744692873753,0.669591,SELL_FAILURE
1744692875793,1.671154,BUY_FAILURE
1744692877836,0.644659,SELL_FAILURE
1744692879879,0.800139,SELL_SUCCESS
1744692881920,0.629812,SELL_FAILURE
1744692883955,1.333468,BUY_FAILURE
1744692886002,4.635077,BUY_FAILURE
1744692888054,0.532247,SELL_FAILURE
1744692890093,0.703583,SELL_FAILURE
1744692892130,1.755558,BUY_SUCCESS
1744692894156,0.469471,SELL_SUCCESS
1744692896188,0.560703,SELL_FAILURE
1744692898211,1.396091,BUY_SUCCESS
1744692900245,2.968089,BUY_FAILURE
